sample,batch
GSE80417_9980092098_R05C02,GSE80417
GSE80417_9980092098_R06C01,GSE80417
GSE80417_9980092098_R06C02,GSE80417
GSE80417_9980092107_R03C01,GSE80417
GSE80417_9980092107_R03C02,GSE80417
GSE80417_9980092107_R04C01,GSE80417
GSE80417_9980092107_R04C02,GSE80417
GSE80417_9980092107_R05C01,GSE80417
GSE80417_9980092107_R06C01,GSE80417
GSE80417_9980092107_R06C02,GSE80417
GSE80417_9980092127_R01C01,GSE80417
GSE80417_9980092127_R01C02,GSE80417
GSE80417_9980092127_R02C02,GSE80417
GSE80417_9980092127_R03C02,GSE80417
GSE80417_9980092127_R04C01,GSE80417
GSE80417_9980092127_R04C02,GSE80417
GSE80417_9980092127_R05C02,GSE80417
GSE80417_9980092127_R06C01,GSE80417
GSE80417_9980092127_R06C02,GSE80417
GSE80417_9980092131_R01C01,GSE80417
GSE80417_9980092131_R01C02,GSE80417
GSE80417_9980092131_R02C01,GSE80417
GSE80417_9980092131_R02C02,GSE80417
GSE80417_9980092131_R03C02,GSE80417
GSE80417_9980092131_R04C01,GSE80417
GSE80417_9980092131_R04C02,GSE80417
GSE80417_9980092131_R05C01,GSE80417
GSE80417_9980092131_R05C02,GSE80417
GSE80417_9980092131_R06C01,GSE80417
GSE80417_9980092131_R06C02,GSE80417
GSE80417_9980092134_R01C02,GSE80417
GSE80417_9980092134_R02C01,GSE80417
GSE80417_9980092134_R02C02,GSE80417
GSE80417_9980092134_R03C01,GSE80417
GSE80417_9980092134_R04C01,GSE80417
GSE80417_9980092134_R04C02,GSE80417
GSE80417_9980092134_R05C01,GSE80417
GSE80417_9980092134_R05C02,GSE80417
GSE80417_9980092134_R06C01,GSE80417
GSE80417_9980092134_R06C02,GSE80417
GSE80417_9980092138_R02C01,GSE80417
GSE80417_9980092138_R04C02,GSE80417
GSE80417_9980092138_R05C01,GSE80417
GSE80417_9980092138_R05C02,GSE80417
GSE80417_9980092138_R06C02,GSE80417
GSE80417_9980102001_R01C01,GSE80417
GSE80417_9980102001_R01C02,GSE80417
GSE80417_9980102001_R02C01,GSE80417
GSE80417_9980102001_R03C01,GSE80417
GSE80417_9980102001_R03C02,GSE80417
GSE80417_9980102001_R04C02,GSE80417
GSE80417_9980102001_R05C01,GSE80417
GSE80417_9980102001_R06C02,GSE80417
GSE80417_9980102014_R01C01,GSE80417
GSE80417_9980102014_R02C01,GSE80417
GSE80417_9980102014_R03C01,GSE80417
GSE80417_9980102014_R03C02,GSE80417
GSE80417_9980102014_R04C01,GSE80417
GSE80417_9980102014_R04C02,GSE80417
GSE80417_9980102014_R05C01,GSE80417
GSE80417_9980102014_R05C02,GSE80417
GSE80417_9980102014_R06C01,GSE80417
GSE80417_9980102014_R06C02,GSE80417
GSE80417_9980102015_R04C02,GSE80417
GSE80417_9980102015_R05C02,GSE80417
GSE80417_9980102016_R03C01,GSE80417
GSE80417_9980102016_R03C02,GSE80417
GSE80417_9980102016_R04C01,GSE80417
GSE80417_9980102016_R04C02,GSE80417
GSE80417_9980102016_R05C01,GSE80417
GSE80417_9980102016_R05C02,GSE80417
GSE80417_9980102016_R06C01,GSE80417
GSE80417_9980102016_R06C02,GSE80417
GSE80417_9980102021_R01C02,GSE80417
GSE80417_9980102021_R02C01,GSE80417
GSE80417_9980102021_R02C02,GSE80417
GSE80417_9980102021_R03C02,GSE80417
GSE80417_9980102021_R04C01,GSE80417
GSE80417_9980102021_R04C02,GSE80417
GSE80417_9980102021_R05C01,GSE80417
GSE80417_9980102021_R05C02,GSE80417
GSE80417_9980102021_R06C01,GSE80417
GSE80417_9980102021_R06C02,GSE80417
GSE80417_9980102023_R01C01,GSE80417
GSE80417_9980102023_R01C02,GSE80417
GSE80417_9980102023_R02C01,GSE80417
GSE80417_9980102023_R02C02,GSE80417
GSE80417_9980102023_R03C01,GSE80417
GSE80417_9980102023_R03C02,GSE80417
GSE80417_9980102023_R04C01,GSE80417
GSE80417_9980102023_R04C02,GSE80417
GSE80417_9980102023_R05C01,GSE80417
GSE80417_9980102023_R05C02,GSE80417
GSE80417_9980102025_R01C01,GSE80417
GSE80417_9980102025_R01C02,GSE80417
GSE80417_9980102025_R02C01,GSE80417
GSE80417_9980102025_R03C02,GSE80417
GSE80417_9980102025_R04C01,GSE80417
GSE80417_9980102025_R04C02,GSE80417
GSE80417_9980102025_R05C01,GSE80417
GSE80417_9980102025_R05C02,GSE80417
GSE80417_9980102025_R06C01,GSE80417
GSE80417_9980102025_R06C02,GSE80417
GSE80417_9980102038_R01C02,GSE80417
GSE80417_9980102038_R02C01,GSE80417
GSE80417_9980102038_R02C02,GSE80417
GSE80417_9980102038_R03C01,GSE80417
GSE80417_9980102038_R03C02,GSE80417
GSE80417_9980102038_R04C01,GSE80417
GSE80417_9980102038_R04C02,GSE80417
GSE80417_9980102038_R05C01,GSE80417
GSE80417_9980102038_R05C02,GSE80417
GSE80417_9980102038_R06C01,GSE80417
GSE80417_9980102038_R06C02,GSE80417
GSE80417_9980102041_R01C01,GSE80417
GSE80417_9980102041_R01C02,GSE80417
GSE80417_9980102041_R02C01,GSE80417
GSE80417_9980102041_R02C02,GSE80417
GSE80417_9980102041_R03C01,GSE80417
GSE80417_9980102041_R03C02,GSE80417
GSE80417_9980102041_R04C02,GSE80417
GSE80417_9980102041_R05C01,GSE80417
GSE80417_9980102041_R05C02,GSE80417
GSE80417_9980102041_R06C01,GSE80417
GSE80417_9980102041_R06C02,GSE80417
GSE80417_9992571030_R01C02,GSE80417
GSE80417_9992571030_R02C01,GSE80417
GSE80417_9992571030_R02C02,GSE80417
GSE80417_9992571030_R03C01,GSE80417
GSE80417_9992571030_R03C02,GSE80417
GSE80417_9992571030_R04C01,GSE80417
GSE80417_9992571030_R04C02,GSE80417
GSE80417_9992571030_R05C02,GSE80417
GSE80417_9992571030_R06C01,GSE80417
GSE80417_9992571030_R06C02,GSE80417
GSE80417_9992571046_R01C01,GSE80417
GSE80417_9992571046_R01C02,GSE80417
GSE80417_9992571046_R02C01,GSE80417
GSE80417_9992571046_R02C02,GSE80417
GSE80417_9992571046_R03C01,GSE80417
GSE80417_9992571046_R03C02,GSE80417
GSE80417_9992571046_R04C01,GSE80417
GSE80417_9992571046_R04C02,GSE80417
GSE80417_9992571046_R05C01,GSE80417
GSE80417_9992571046_R05C02,GSE80417
GSE80417_9992571046_R06C01,GSE80417
GSE80417_9992571046_R06C02,GSE80417
GSE80417_9992571068_R01C01,GSE80417
GSE80417_9992571068_R02C01,GSE80417
GSE80417_9992571068_R02C02,GSE80417
GSE80417_9992571068_R06C02,GSE80417
GSE80417_9992571076_R01C01,GSE80417
GSE80417_9992571076_R01C02,GSE80417
GSE80417_9992571076_R02C02,GSE80417
GSE80417_9992571076_R03C01,GSE80417
GSE80417_9992571076_R03C02,GSE80417
GSE80417_9992571076_R04C01,GSE80417
GSE80417_9992571076_R04C02,GSE80417
GSE80417_9992571076_R05C01,GSE80417
GSE80417_9992571076_R05C02,GSE80417
