"","kME1","kME3","kME5","kME6","kME2","kME4","kME0"
"ACAP3",0.183086378034125,0.264724855367375,0.312714915070539,-0.0123353018881009,-0.0778735056297623,-0.258553575966803,0.286735371700812
"ACAT1",0.2464667273444,0.195152898479369,0.269076028111592,0.0395835871813281,-0.138011616487528,-0.172790491122802,0.27915198569813
"ACAT2",0.681026246886189,0.166354704317421,0.534536579887089,0.0903910643990466,-0.102806457342801,-0.118167018814507,0.691546719293604
"ACBD3",0.507480827046803,-0.215531115796109,0.138915941433322,0.00384656761753144,0.409256497086485,0.10585563516592,0.510854500927579
"ACBD4",0.217865602602643,-0.390437721414155,-0.121501789465523,0.0918305999479703,0.332157939295974,0.353767043248788,0.225689374769946
"ACBD5",0.496277404281046,0.263984062603006,0.49748795719511,0.0208359967433337,-0.174373648808298,-0.227776131900356,0.494451416207582
"ACBD7",0.592371950434079,0.180268938117726,0.495034560766136,0.0419579237481734,-0.0839937796080168,-0.165396776543236,0.592362705560498
"ACCN1",0.310485786150892,-0.0693191220518549,0.208303395124615,0.256445260876777,-0.012017803575752,0.22738484658665,0.25603506671184
"ACCN2",0.177936624619691,-0.595127867663604,-0.336052485893559,0.0800068080009544,0.630166271227007,0.479970952617828,0.169246896980816
"ACCN3",-0.28687507429975,-0.574749931233306,-0.568325875075176,0.0225648538363957,0.557634099768567,0.492784822812483,-0.260547867503259
"ACCN4",0.228790916148302,-0.109602588134358,0.0815721315974801,0.100438048171235,0.0879695546266299,0.116318041680364,0.233266903697748
"ACCS",0.425450159049568,-0.183282017757234,0.138955392464592,0.0475936607093645,0.194342900926715,0.169506099628218,0.400562724943949
"ACD",0.00215749055642101,-0.641407925830915,-0.442858005479848,0.145826293689707,0.5308138364517,0.615435611298098,0.023836175143344
"ACE",0.114318471964262,0.598815242678833,0.484930027676574,-0.0464935639299248,-0.455962784894793,-0.514243964283363,0.263313106383691
"ACER2",0.227423591571078,-0.0689834363887184,0.12652762946516,0.073755011213266,0.0648187318330624,0.0606496223416638,0.188806400907051
"ACER3",0.258472328652135,-0.0299541819921286,0.201046564669445,0.194373400758024,-0.161149956487585,0.128580855898535,0.223772053367196
"ACHE",0.488465347259692,0.379006784557309,0.575094631950168,0.0322793541769828,-0.195419014927044,-0.312426596174256,0.481927551355308
"ACIN1",0.101833436967792,-0.383516249707116,-0.23300012294753,-0.117791436632569,0.661156648186064,0.198392024014907,0.102887724911946
"ACLY",0.708139010821954,0.0930468153580709,0.522949184302199,0.107518760468349,0.00633386111789299,-0.0879776689994318,0.65121522596638
"ACN9",0.162596356173474,-0.299940337235632,-0.123624580399627,0.050203737922533,0.308442199297846,0.263318645187113,0.201605857454167
"ACO1",0.433936455533498,0.0343767427843841,0.287848415140601,0.0700107463995177,-0.0162316605078797,-0.00262307568441368,0.38713187105578
"ACO2",0.698395032118589,0.0282581435069892,0.456408474638263,0.121891010730413,-0.036268988151899,0.00662992358241303,0.557670625904263
"ACOT11",0.070190845095667,-0.5957908181444,-0.422739685298551,-0.130501481765814,0.821602097620465,0.367832629605549,0.0162756261288256
"ACOT12",0.106206194273202,-0.288539313086175,-0.115080896274975,0.0831464404089015,0.268990235216627,0.317708017039135,0.124379243265265
"ACOT13",0.45076740596455,0.217972578211302,0.418700310267435,0.00958339279961672,-0.136405198467099,-0.182901455160799,0.493230152077518
"ACOT6",0.011635305907654,-0.132525916072418,-0.0941246552664214,0.00291853751562826,0.168538509206842,0.10007423725,-0.00947091813039514
"ACOT7",-0.121857381120943,-0.186441749992203,-0.217259389829107,-0.201755719711576,0.346275377093608,0.0726860617175542,-0.136349603378149
"ACOT8",0.729444931428637,0.0412502113638127,0.484888909412488,0.159328562974491,-0.0140254854786604,-0.0114200971295965,0.700042521387615
"ACOX1",0.694807175528668,0.140180173741022,0.506694427165722,0.0763649046465838,-0.0640944263809001,-0.127129042840143,0.593492780219337
"ACOX2",-0.0438442658604351,0.125140357813513,0.0466742122459269,-0.279247677101645,0.208041838067073,-0.281657104928513,-0.0069703440121167
"ACOX3",0.300896077331664,0.415533052244341,0.458204359181034,-0.028652120745465,-0.316962584570015,-0.36314757108768,0.203625932788285
"ACOXL",0.558638041238049,-0.108474980356186,0.295754901348539,0.255101992145121,0.0384097656305789,0.19677790519965,0.556289316761926
"ACP1",0.197915807977127,0.165619270829659,0.232271229041988,-0.0403822904542716,-0.143360127287078,-0.146423348315347,0.225669328117524
"ACP2",0.639556525482622,0.123672395815062,0.483031685483803,0.111785325617845,-0.0985879919868475,-0.0606839526602585,0.554149384812897
"ACP5",0.323190631628353,-0.153335954278613,0.121282252672123,0.13389594782395,0.163335926324101,0.159075822101098,0.351251319056309
"ACP6",0.647343403851412,0.0719694228250973,0.443947881416844,0.110826798841501,-0.0586124637935798,-0.0249660071258553,0.501697128802307
"ACPL2",0.274873741001644,0.236234812179577,0.330606890192937,-0.0231624172601,-0.141578055217756,-0.227333361750577,0.340540701124823
"ACPP",-0.0987614886123289,-0.430006180361608,-0.424364757441606,-0.170130811257935,0.714335524386719,0.210115034834028,-0.160710323739905
"ACR",0.271922067688536,0.830072471194807,0.755371923055266,-0.0819532801304593,-0.599667672644066,-0.744614566813078,0.316380949088061
"ACRBP",-0.121273754276431,-0.584154683304559,-0.470370669871141,0.0625023432905924,0.534477551329386,0.473702252392457,-0.159458964701788
"ACSBG1",0.0565947797313158,0.427889577869554,0.396149516222932,-0.00214012378216685,-0.43598551213756,-0.31762797332858,0.107216795631438
