sample_id,ME0,ME1,ME2,ME3,ME4,ME5,ME6
GSE152027_3998998139_R01C02,-0.0131772422618363,-0.020671706109547,-0.012531440610117,0.0034402827644083,-0.0021309879091584,-0.0273665414296214,-0.0318815804743044
GSE84727_3999442061_R01C01,0.0366262825970081,0.0542316146186103,-0.0005341529579298,-0.0103533974612006,-0.0011728701779271,0.0371882422542244,-8.0006053062893e-05
GSE152027_3999002095_R04C02,-0.0303318889651387,-0.0309080104322702,-0.0502184023386218,0.0388793901667997,-0.0287599996049131,0.0035690822218067,-0.0248497664915235
GSE84727_101103430073_R04C01,-0.0181583104179085,-0.0189541200716935,0.0231737098155742,-0.0111737497565507,0.0087080533765441,-0.0218101266520153,0.004516874019484
GSE147221_200379120042_R06C02,-0.0044214231154513,-0.0120542706233355,0.0416803006557039,-0.0508210869391485,0.0430270013078187,-0.0426628499640985,0.0175887547755903
GSE147221_200049730087_R03C02,0.0095332686413487,0.017568753400088,-0.0621582562693512,0.0544544123789449,-0.0405389780434459,0.0522933322302817,-0.0360036971154715
GSE147221_200049730089_R02C02,0.0434364465032671,0.0400181270484667,-0.0244643857169841,0.0155856253586634,-0.0121100185413614,0.0372541751027068,0.0216133343702117
GSE147221_200049730087_R01C02,-0.0137192973494718,-0.0046599872702829,-0.018559108575253,0.0292862410975995,-0.0365355456971666,0.0093143349333241,-0.0397741038687955
GSE80417_9971851094_R04C02,0.127944394256636,0.131470028376339,0.0253338605258476,-0.0251103786172007,0.0276272214712189,0.0552481281221533,0.0265142661645526
GSE84727_3998567014_R05C01,0.0059927822411391,0.0103427035428026,-0.0312099741618171,0.0393845502651906,-0.0377210796651488,0.0360208892615555,-0.0111558940396003
GSE152027_10003886140_R05C01,-0.0325119936371399,-0.0338268772073477,-0.0146433251459588,0.0354185554078038,-0.0214162017954459,-0.0035042758161819,-0.0073112340172285
GSE80417_9806233080_R02C02,-0.0054793943071244,0.0025655160261452,0.052023472153977,-0.0101255638788708,-0.007863010103966,-0.0049963744942167,-0.0079330628361911
GSE147221_3998998212_R03C02,-0.0380383087745645,-0.0730595498920105,0.0392224041202035,-0.0746860016027307,0.0715402393488447,-0.108314832586313,0.0158787418289087
GSE84727_3998567030_R03C01,0.0031246694000766,-0.0060920443912218,-0.008662495145674,-0.0006438456878315,0.0065514332854763,0.0006615774127198,-0.0231305782743194
GSE80417_9980092020_R04C01,-0.0492100343351005,-0.0458222895168335,0.0091642323796405,-0.0365249505298306,0.0545279044342755,-0.0466677813869377,0.0532773060311205
GSE80417_9828653039_R05C02,0.0054843382849559,0.0035583811325075,0.0061261871308566,-0.0042259439316897,-0.0065957969643122,0.0008349715852677,0.0077513552177115
GSE84727_3998634017_R01C02,-0.0123384725751565,-0.0215707553299168,0.0177510028402381,-0.0126186092704331,0.0159127778711103,-0.0234593529184355,0.0085443571810156
GSE147221_200397540038_R01C02,-0.0305811336493798,-0.0267181331231503,0.0048954956746117,-0.0054642929119696,0.011398364036824,-0.0162618051110276,0.0024725637648265
GSE84727_3998567013_R02C02,-0.03610761567904,-0.0346863304799431,0.0001131859531538,-0.0042189248229754,0.0050039367134682,-0.0250591100740228,0.0149402215319269
GSE147221_200049730099_R05C01,-0.0043723708560096,0.0194354624916063,-0.0307638997294762,0.0161683233176474,-0.0149568799896959,0.0205536686956836,-0.032127199468167
GSE80417_9976861013_R06C01,-0.0099812427077607,-0.015618591097458,0.0285895945760538,-0.0080080039095128,0.0157698854203691,-0.0128306830806848,-0.0175691109652567
GSE147221_200379120030_R03C02,-0.0530456514837887,-0.0573323630365513,0.0469602013409429,-0.0760536606831184,0.07714693459939,-0.0919781189862378,-0.0096419936297283
GSE147221_200090280126_R01C02,0.0169417807807133,0.0179227659362312,0.029494013247801,-0.0133398383705944,-0.0013940187494438,0.0019167245229344,-0.0353719973105313
GSE80417_9769100109_R05C01,0.0160527009648036,0.0354913908611747,0.0328219503639413,-0.0175332602094746,0.0292024234277943,0.0079501401884403,0.0268380555462746
GSE147221_200397540049_R04C01,0.0040549310844014,-0.0023201936518131,0.001565892691688,0.0154067895068849,-0.0117123223246611,0.0100690420131538,-0.057857194199647
GSE80417_9878827135_R02C01,0.0467822296646081,0.0481302453829189,-0.0090232519336242,0.0138073044260296,-0.0020797833175902,0.0346496709562922,0.009066470272224
GSE80417_9806233073_R03C02,0.037478285187507,0.0313642946922777,-0.0096588602391821,-0.000385986711685,-0.0079593351416265,0.0224699726383763,0.0133921945182338
GSE80417_9806233017_R03C02,0.0063208728320413,0.01191345062353,-0.0069182608224648,-0.0142634503001974,0.0438783198444575,0.0074147236382201,-0.0040024090916184
GSE84727_100973330104_R05C02,-0.0195472263770522,-0.0015203934318756,0.0101880209803108,-0.0023095590693141,-0.0037041750520837,-0.0016598108423548,-0.0274107614912791
GSE152027_10005839173_R03C02,-0.0244767179209596,-0.023159261482172,0.0349847577526841,-0.0050938587782026,0.0010992984814664,-0.0283903543296132,-0.0391696918745273
GSE84727_3998919004_R02C01,0.0186116349564407,0.0109488954115562,0.0563496465043843,-0.047528150093724,0.025891146201897,-0.0315297831111813,0.0494549553758448
GSE84727_3998567090_R06C01,-0.0306442377472998,-0.0297469254115712,0.0147954159247386,-0.0238630194896577,0.0349446521765264,-0.0290669725584523,0.0087723382184684
GSE80417_9806233018_R02C02,0.0785797404205073,0.0832986600315625,0.0362274431730948,-0.0289918422352674,0.0151162323925034,0.023942002537421,0.0200833643519366
GSE84727_101103430127_R01C02,0.0108327631072991,-0.0114955048050945,-0.0022459248046275,-0.0133975942160648,0.0037872897761257,-0.0139074766580816,0.0018308209745774
GSE80417_9980092098_R04C02,0.0255288496061134,0.0349442141486635,0.0271878583515352,-0.0043100208413763,0.0085326757185901,0.0172037744757871,0.0113170038211086
GSE84727_3998567034_R05C01,-0.0390049748761138,-0.0299339371743746,0.0162440069878276,-0.0550758086812804,0.0615638436399722,-0.0517577091487567,0.0061388825443114
GSE147221_200379120155_R01C02,0.0571958807032005,0.0508530843171521,0.0123102441810251,0.00013213933865,-0.0095524966004517,0.0268810658111931,-0.0294651905085052
GSE147221_200379120147_R05C01,0.0204747368295345,0.0139935364601994,-0.0481989319945042,0.028847874900632,-0.0327986722013457,0.0318630815050612,-0.0087079266663084
GSE147221_200379120082_R04C02,-0.0047566584220437,-0.0038209461035173,-0.0067840979621987,0.0151888110572137,-0.021446967751435,0.0057728281630801,0.0547465042674108
GSE147221_200049730116_R03C01,0.0071535970359231,0.0219052524858787,-0.0013327060600569,-0.0123618053772723,0.0149793341894947,0.0077197798240823,0.020899932549844
GSE80417_9974366006_R01C01,-0.0201755240626496,-0.0395160338001978,0.0224348745073368,-0.0057240261665792,-0.0038209331454183,-0.0308287719678311,-0.0496452151223419
GSE80417_9828653039_R02C01,0.0204229201817254,0.0127503934898747,-0.0019580697588605,-0.0128252790008238,0.0087288628692239,0.0029202350029839,0.0234757334177014
GSE80417_9806233066_R06C02,0.0901972336966943,0.0934150363812282,0.0134595371919427,-0.018843237953357,0.0120748684521582,0.0383073407345372,-0.0073839807559898
GSE84727_3998567069_R04C02,0.0105782524523814,0.0087669490250284,-0.0004878186891623,0.0232573268403557,-0.0265064593929745,0.0259677324073692,-0.0507368037538377
GSE80417_9980102025_R04C02,-0.0103343205639353,-0.0220614423927622,-0.0126742526347057,0.009138515956376,-0.0119946975874716,-0.009851023646405,-0.0119502477357366
